Thu Mar 18 18:26:01 2021    output.dat

         188712296 function calls (185104778 primitive calls) in 194.084 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    23906   42.866    0.002   42.866    0.002 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_Execute}
  1219242   22.404    0.000   22.460    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
28799952/28554371    3.662    0.000    5.092    0.000 {built-in method builtins.isinstance}
2154496/2154492    2.766    0.000    2.779    0.000 {built-in method tensorflow.python._pywrap_utils.Flatten}
200439/22271    2.759    0.000   42.201    0.002 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/keras/engine/base_layer.py:901(__call__)
  3587857    2.614    0.000    2.614    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/eager/context.py:815(executing_eagerly)
   385734    1.786    0.000    2.284    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/framework/constant_op.py:70(convert_to_eager_tensor)
940757/940565    1.718    0.000    7.724    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:1481(convert_to_tensor)
1982628/1982624    1.705    0.000    3.895    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/framework/tensor_shape.py:748(__init__)
   468938    1.675    0.000    2.314    0.000 {built-in method tensorflow.python._pywrap_utils.AssertSameStructure}
6675166/6673679    1.672    0.000    1.829    0.000 {built-in method builtins.getattr}
    47984    1.615    0.000    1.615    0.000 {built-in method posix.getcwd}
  1334807    1.475    0.000    1.477    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/framework/dtypes.py:192(__eq__)
1248943/802585    1.368    0.000    4.711    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/training/tracking/tracking.py:80(__setattr__)
   509300    1.291    0.000    2.510    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/framework/ops.py:6620(__enter__)
   592858    1.291    0.000    3.393    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/util/nest.py:129(_sequence_like)
592858/212961    1.272    0.000    6.237    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/util/nest.py:470(_packed_nest_with_indices)
1498233/1261565    1.241    0.000   48.024    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/util/dispatch.py:198(wrapper)
  2243342    1.223    0.000    1.223    0.000 {built-in method tensorflow.python._pywrap_utils.IsSequence}
296438/274155    1.121    0.000   44.328    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/util/nest.py:582(map_structure)
  2018560    1.108    0.000    2.813    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/eager/context.py:1874(executing_eagerly)
  2585850    1.096    0.000    1.774    0.000 {built-in method _abc._abc_instancecheck}
   200455    1.078    0.000    2.986    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/keras/engine/input_spec.py:159(assert_input_compatibility)
2155788/2155784    0.957    0.000    3.736    0.000 /Users/marvin/opt/anaconda3/envs/fml/lib/python3.8/site-packages/tensorflow/python/util/nest.py:274(flatten)
